date,segment,daily_net_flow,daily_buy,daily_sell,trade_count,cum_net_flow
2024-10-22,Small,0.006738000000000022,1.019598,1.0128599999999999,4,250.27260199999998
2024-10-23,Small,5.969819,7.329919,1.3601,6,256.242421
2024-10-25,Small,3.0069780000000006,3.3099080000000005,0.30293000000000003,5,259.249399
2024-10-26,Small,3.0514929999999962,5.409792999999997,2.3583,9,262.300892
2024-10-27,Small,0.9213909999999993,5.069661,4.14827,15,263.22228299999995
2024-10-28,Small,0.03859599999999974,1.9299959999999998,1.8914,4,263.260879
2024-10-29,Small,0.22101499999999966,11.229804999999999,11.008790000000001,14,263.48189399999995
2024-10-30,Small,55.320530999999974,88.20995099999993,32.88941999999996,60,318.80242499999997
2024-10-31,Small,-2.0621170000000006,26.139983,28.2021,51,316.7403079999999
2024-11-01,Small,9.827580000000003,40.77798,30.9504,45,326.5678879999999
2024-11-02,Small,16.307017999999996,45.959987999999996,29.65297,30,342.87490599999995
2024-11-03,Small,6.073739999999992,163.96994,157.8962,108,348.94864599999994
2024-11-04,Small,34.899995999999916,34.899995999999916,0.0,5,383.84864199999987
2024-11-05,Small,74.14196199999999,86.699962,12.558,10,457.99060399999985
2024-11-06,Small,68.164565,70.339995,2.17543,10,526.1551689999999
2024-11-07,Small,80.234866,86.249966,6.0151,15,606.3900349999999
2024-11-08,Small,62.455521,93.007821,30.5523,14,668.8455559999999
2024-11-09,Small,235.9014,310.4894,74.588,68,904.7469559999998
2024-11-10,Small,260.47982699999994,354.0783069999999,93.59848,73,1165.2267829999998
2024-11-11,Small,264.1447799999999,765.3462899999998,501.20151,172,1429.3715629999997
2024-11-12,Small,2352.3041059999996,2397.5701759999997,45.26607,413,3781.6756689999993
2024-11-13,Small,2005.9342369999993,2075.6435169999995,69.70927999999999,624,5787.609905999999
2024-11-14,Small,101.75889399999988,912.1745639999998,810.41567,229,5889.368799999998
2024-11-15,Small,163.91814599999978,458.21630599999975,294.29816,165,6053.286945999998
2024-11-16,Small,115.96145499999989,123.56835499999988,7.6069,75,6169.248400999998
2024-11-17,Small,220.26986999999994,258.9362999999999,38.666429999999984,120,6389.518270999998
2024-11-18,Small,26.488788999999976,97.28520899999998,70.79642,71,6416.007059999998
2024-11-19,Small,20.869434000000012,24.639114,3.7696799999999873,25,6436.876493999998
2024-11-20,Small,41.619661999999856,139.57906199999985,97.9594,27,6478.496155999997
2024-11-21,Small,11.699513999999999,18.839254,7.139740000000001,24,6490.195669999998
2024-11-22,Small,0.9851459999999994,18.408846,17.4237,83,6491.180815999998
2024-11-23,Small,300.518796,416.112486,115.59369,79,6791.699611999998
2024-11-24,Small,127.13302,143.19359,16.060570000000002,69,6918.832631999998
2024-11-25,Small,46.953814,51.523534,4.569719999999997,67,6965.786445999998
2024-11-26,Small,61.99317299999999,68.911363,6.91819,99,7027.779618999998
2024-11-27,Small,97.972071,97.99981100000001,0.027739999999999997,16,7125.751689999998
2024-11-28,Small,147.781622,155.629562,7.8479399999999995,23,7273.533311999998
2024-11-29,Small,124.900442,128.279642,3.3792,22,7398.433753999998
2024-11-30,Small,99.63257999999999,99.63257999999999,0.0,11,7498.066333999998
2024-12-01,Small,40.101265999999995,42.99998599999999,2.89872,8,7538.167599999998
2024-12-02,Small,311.330764,322.330274,10.99951,24,7849.498363999998
2024-12-13,Small,36.442319999999995,37.45792,1.0156,28,7885.940683999997
2024-12-14,Small,-0.7960279999999962,71.099992,71.89602,16,7885.144655999998
2024-12-15,Small,32.964575,36.459575,3.495,9,7918.109230999998
2024-12-16,Small,-0.5,0.0,0.5,1,7917.609230999998
2024-12-17,Small,4.649248,4.649248,0.0,4,7922.258478999998
2024-12-18,Small,0.5,1.0,0.5,2,7922.758478999998
2024-12-19,Small,3.869752,9.261592,5.39184,8,7926.628230999998
2024-12-20,Small,-0.4290599999999998,12.95703,13.38609,11,7926.1991709999975
2024-12-21,Small,124.0034519999996,163.6342019999996,39.63075,6016,8050.202622999997
2024-12-22,Small,0.0432,0.0432,0.0,1,8050.2458229999975
2024-12-23,Small,-46.4602,0.0,46.4602,1,8003.785622999997
2024-12-24,Small,0.026990999999998766,8.999990999999998,8.973,18,8003.812613999998
2024-12-25,Small,-1.235761,0.9999989999999999,2.23576,2000,8002.576852999998
2024-12-26,Small,74.84292099999995,81.16292099999994,6.32,17,8077.419773999997
2024-12-27,Small,276.725879,736.4124489999999,459.68656999999996,149,8354.145652999998
2024-12-28,Small,387.52900399999993,764.725794,377.19678999999996,154,8741.674656999998
2024-12-29,Small,-483.26477,296.01243,779.2772,123,8258.409886999998
2024-12-30,Small,-7.757085000000098,200.34379499999991,208.10088,90,8250.652801999997
2024-12-31,Small,29.463243000000013,480.645223,451.18198,221,8280.116044999997
2025-01-01,Small,-187.43570999999997,203.08599,390.5217,77,8092.680334999997
2025-01-02,Small,531.3451509999999,685.6712809999999,154.32613,222,8624.025485999997
2025-01-03,Small,315.1718219999997,497.7836919999997,182.61187,182,8939.197307999997
2025-10-14,Small,23.574133,46.766933,23.1928,27,8962.771440999997
2025-10-15,Small,21.479944,21.479944,0.0,11,8984.251384999996
2025-10-16,Small,-3.494822000000002,6.999978,10.494800000000001,9,8980.756562999997
2025-10-17,Small,15.225898000000004,28.999998000000005,13.7741,10,8995.982460999996
2025-10-18,Small,16.182984,16.182984,0.0,3,9012.165444999997
2025-10-19,Small,83.512979,83.512979,0.0,7,9095.678423999996
2025-10-20,Small,-4.6196,11.399999999999999,16.019599999999997,4,9091.058823999996
2025-10-21,Small,27.63985,27.63985,0.0,21,9118.698673999997
2025-10-22,Small,0.9999940000000002,0.9999940000000002,0.0,1,9119.698667999997
2025-10-23,Small,-8.764801000000002,14.999998999999999,23.7648,22,9110.933866999996
2025-10-25,Small,3.976998999999997,4.999998999999997,1.0230000000000001,2,9114.910865999997
2025-10-26,Small,4.999998999999999,4.999998999999999,0.0,1,9119.910864999996
2025-10-27,Small,0.9418729999999994,4.999973,4.0581000000000005,6,9120.852737999996
2025-10-28,Small,14.369496999999997,23.669496999999996,9.3,5,9135.222234999997
2025-10-29,Small,-11.410001,0.9999990000000001,12.41,3,9123.812233999997
2025-10-30,Small,6.0604949999999995,10.999994999999998,4.9395,4,9129.872728999997
2025-10-31,Small,9.058695,13.999995,4.9413,6,9138.931423999997
2025-11-01,Small,19.039998999999998,19.039998999999998,0.0,3,9157.971422999997
2025-11-02,Small,0.9999889999999999,0.9999889999999999,0.0,1,9158.971411999997
2025-11-03,Small,42.99997099999999,42.99997099999999,0.0,6,9201.971382999996
2025-11-04,Small,53.749983,67.09998300000001,13.35,7,9255.721365999996
2025-11-05,Small,148.043464,187.889964,39.8465,28,9403.764829999996
2025-11-06,Small,37.57917,68.59117,31.012,17,9441.343999999997
2025-11-07,Small,50.054399,58.449999,8.3956,8,9491.398398999996
2025-11-08,Small,9.137396999999998,29.999997,20.8626,7,9500.535795999996
2025-11-09,Small,31.192797999999996,31.192797999999996,0.0,9,9531.728593999997
2025-11-10,Small,1.9999980000000002,1.9999980000000002,0.0,2,9533.728591999998
2025-11-11,Small,0.9999940000000002,0.9999940000000002,0.0,1,9534.728585999997
2025-11-12,Small,6.999995,6.999995,0.0,3,9541.728580999998
2025-11-13,Small,7.440783999999999,13.439983999999999,5.9992,8,9549.169364999996
2025-11-14,Small,-22.85262,24.14998,47.0026,7,9526.316744999996
2025-11-15,Small,5.752797999999999,10.239998,4.4872,3,9532.069542999996
2025-11-16,Small,41.659993,43.549993,1.89,8,9573.729535999997
2025-11-17,Small,-42.706601,17.799999,60.5066,6,9531.022934999997
2025-11-18,Small,-20.650199999999998,0.0,20.650199999999998,2,9510.372734999997
2025-11-19,Small,9.864199,10.849998999999999,0.9858000000000001,5,9520.236933999997
